"PCLZ117","PCLZ118","PCLZ119","PCLZ121","PCLZ122","PCLZ123","PCLZ124","PCLZ126","PCLZ127","PCLZ130","PCLZ131","PCLZ132","PCLZ133","PCLZ134","PCLZ135","PCLZ136","PCLZ137","PCLZ138","PCLZ139","PCLZ140","PCLZ141","PCLZ142","PCLZ143","PCLZ144","PCLZ145","PCLZ147","PCLZ148","PCLZ81","PCLZ82","PCLZ83","PCLZ84","PCLZ85","PCLZ87","PCLZ88","PCLZ89","PCLZ90","PCLZ92","PCLZ94","PCLZ95","PCLZ96","PCLZ97","PCLZ98","PCLZ100","PCLZ101","PCLZ102","PCLZ103","PCLZ104","PCLZ105","PCLZ106","PCLZ108","PCLZ109","PCLZ110","PCLZ111","PCLZ112","PCLZ113","PCLZ114","PCLZ115","PCLZ116"
"hsa-let-7f-2-3p",-2.50838011087093,0.999361789080651,0.226726141868115,-0.0959818139194641,-0.663079145273145,-0.0067618859240301,-0.238704327671308,-0.852138576231398,-0.932702051441414,0.14622539896945,-0.284471152425946,-0.367581109150778,1.66960047693588,0.501350363022202,0.439218687205815,-0.386151355607443,-0.423381653978866,-0.321930308216692,0.355020266066324,1.58979794966592,-1.21210409791537,1.45138533089117,0.942532728075344,0.626884780192742,-0.333493155555662,0.372028478429355,-0.107221576503735,-0.747402291899241,-1.44641427893367,-0.364239037893169,-2.670251619971,-0.822992463865219,-1.89064980328755,-0.394710046118103,0.32342207053401,0.252379676933403,1.36687794956989,0.441160376403385,0.38630355161108,0.652896866145601,0.853361522939056,-0.490373208555005,0.509592788729182,0.191193762817041,0.171480481494549,0.161927128501347,0.777146200684246,0.480789176975057,0.997903043558941,-0.311430430886752,-0.355566379275562,0.583001313290391,0.534449081943644,0.646222667670011,-1.46025001254418,0.629987890848959,0.443674558066651,0.227800016482786
"hsa-let-7f-5p",-0.445087457656176,0.0585757176924169,0.122194776027925,-0.476880648342895,-0.106540922309664,0.165928878310348,-0.145204801113756,-0.0661521025482875,-0.578222183730622,0.107210101685967,-0.0590478090167605,0.040060361604398,-1.05938967149806,0.0495664272697842,0.613872386447422,0.0951681745578771,0.292563586781971,-0.130235631974477,0.014731509955989,0.12344102382154,-0.134707272981536,0.294617676314738,-0.231200280312129,0.148295586737721,-0.172003863185413,0.279117520865326,0.506771049292333,-0.221130168902964,-0.355717508999513,0.169161872021019,-0.544739193921204,-0.781931956024978,-0.563003608042023,-0.182265424709114,0.747565452305637,0.691334857007491,0.336426669650631,-0.212605944954005,0.113456769741396,-0.164333051901995,0.495906628312063,0.289913190595702,0.210849251974176,0.388591707249524,0.220853797376566,-0.0902821311356768,-0.0913655392515502,0.138744366702659,0.0596546843929586,-0.126296420748876,-0.502182664783631,-0.0686761347543005,0.160699765364644,-0.168327364372333,0.0258827047566646,0.0500840995471629,0.291793370334267,0.142132804861694
"hsa-let-7g-3p",-0.762880853512947,0.163587504751479,-0.00520721242643482,0.15727728744142,-0.500896390724734,0.0234479721602941,0.188255154710365,-0.297152507579031,0.184166935587164,0.486879681440771,0.21677728187452,-0.00698267953304899,0.0701639741431868,0.324083121060516,0.188959443556048,0.304602836034609,0.625282498068361,-0.516893081604285,0.721235928115509,0.554998608738097,0.282990416907885,0.616764570340081,0.445184788816114,0.362432612348681,-0.336512471179624,0.295340494644516,-0.260079826579882,-0.0535250630185448,-0.291306088139856,-0.0861396619432292,-0.0742782322574057,-0.615139511466141,-1.29505065344227,-0.530365703563984,0.540888428327616,-0.540988644529506,0.562318116474191,0.245947553677099,0.46445826101923,-0.157253689304118,0.275400183119859,-0.270273741019609,-0.365590178778379,0.133351590454622,-0.351905016337742,-0.00496668433275621,0.528206870345845,0.104184098980982,0.561053056474666,0.200493919147143,-0.3158090476779,0.329632640491776,-0.070945197767304,0.435330236560272,-0.472416695341922,-0.299741866549651,0.428023526978794,-0.797582282768209
"hsa-let-7g-5p",-0.165058036814479,0.146868311081086,-0.0135213989272791,-0.427662319450042,-0.203091941970091,0.0738229047540163,0.160780838891397,-0.131436315040194,-0.392150938393873,0.226839856325893,-0.00293125931826933,0.0477522232886325,-0.834976435035918,-0.123453312112524,0.137089819724352,0.003568689296908,0.195078431962081,-0.219262423306565,0.261998593211366,0.155481810832545,-0.0842328353539667,0.105187762244905,-0.267772244165933,-0.043709041783338,-0.319368065338325,0.31969766008948,0.307419286064291,0.333168192106349,0.082397739089799,0.271884609009317,0.0713655162563848,-0.336746467442976,-0.043921535401535,-0.244799433064836,0.283905520651913,0.306370362352127,0.00662842498265272,-0.0330389638142283,0.22891970721161,-0.0281547070937287,0.130755398273388,0.0559084078755051,0.122414694977313,0.19483298507784,-0.0758667305679308,-0.0879343794335751,-0.093640635702861,0.115259952540805,0.0431030874925783,0.0771662715233933,-0.551500560921138,0.0950991525555094,0.12086379466643,0.0415109657437584,-0.0154215736000727,-0.14109865325335,0.209944966005148,-0.0392063119820087
"hsa-let-7i-3p",-0.237240671012558,0.259252112579103,0.237981775486497,0.0126593042596083,-0.132064098255371,-0.182064994822537,0.112355440158234,0.114904644492111,-0.0439723060767341,0.0260423994680045,0.181535218098835,-0.473282194997382,0.36861642564381,0.260683217010706,0.0206614023097215,0.150482385091235,0.289686217010121,-0.222502971523537,0.118965039500287,0.133305823052535,0.038005238433295,-0.082744831809519,-0.12790716951162,-0.0828162365133689,-0.088679440042912,-0.037893467549022,0.129817290322005,-0.196880491097969,0.556866541710133,0.560631811030545,-0.101333143555518,-0.2279888829486,-0.0489389895408274,-0.119881115112012,0.309463607371965,-0.284659813442664,0.0885143890642878,-0.162258675955257,0.0140152967893253,0.0487365884486611,-0.151288578612086,-0.111874371283414,-0.160484717200261,-0.127384901908047,-0.272431355494698,-0.0999739022094561,0.383638545307101,0.102134494224065,0.0494592734766248,0.0621808012845294,-0.0871777052765805,-0.132330204550754,-0.213796205635099,0.446090918523764,0.255099772941623,-0.541675562282343,0.0906050492953478,-0.367960558794122
"hsa-let-7i-5p",0.0143745934218715,-0.226263259512778,0.0420407954073345,-0.108037689067086,0.0568401262296776,0.250153716128196,0.069639039771043,-0.0448414872726718,-0.093282641413425,0.120805264886538,-0.157205613933391,-0.341811929372898,-1.15802329623539,-0.051773180968958,0.456894556460803,0.460858620036549,0.610423562262388,-0.170243717603281,0.202458451857932,-0.163112338487266,0.116226782994568,-0.196844506726174,-0.540598521942806,0.130133104205878,0.027359514326795,0.293356727844023,0.450999784532267,0.107053266845222,0.402804584158078,0.326704350091973,-0.0855019802453965,-0.585514895413171,-0.033728759065652,-0.350036145994363,0.307956620267799,0.23564828386821,-0.194187150307448,-0.273952816055934,-0.0818301536191195,-0.489032361776533,0.0128566663591023,0.0111418091163636,-0.0748094987903229,-0.00128975937368223,-0.0452247211213527,0.203366334062821,0.0756960200268358,0.064641077549338,-0.0385749416985221,-0.155755600192065,-0.333291422427528,0.01683308432377,0.0835634808615307,0.112554323712615,-0.045905355816912,-0.181369966786428,-0.00271341712070647,-0.0827642843015874
"hsa-miR-1-3p",-3.62143894851557,0.868108337061751,-0.749406491378306,-1.29595425986895,1.13298347111111,-1.13569863026684,-2.08086005248997,0.554388483286163,-1.28609426743751,-0.617341403810384,2.65198465534314,0.270733162243213,0.507918322612314,-1.20828655854458,-1.93248427025028,0.420155703229099,-2.24368087848569,1.65280804959596,-0.966448711104192,-0.128404880706627,0.53190100788625,3.55163887795726,2.22560816609806,-0.0712369883633176,-0.443935387080425,-0.817240456344932,0.35703317838869,0.197736360741149,-5.70281049951569,-1.60857220825209,-1.14737727625572,-0.124126062095299,-1.67186807738107,-1.56016813531562,-0.996112331651959,-0.212841767965742,1.38605078170831,0.0666162657030879,1.15865140971871,1.10826897921678,1.31349498464358,1.6596221070002,-1.48864743112993,1.20875327822195,1.06719744545122,0.90420068157007,-0.427411940698439,0.923809365273616,1.35842148120391,0.320256990633097,0.637310929259271,0.141411897361893,0.903295473836358,-2.08439038019885,0.530774711897806,1.07689776364584,-0.0779003491731085,1.68871073773501
"hsa-miR-100-5p",-0.956466870016716,-2.03169024593038,0.83802632851605,-2.22788539363934,-1.72821958909991,1.82521782665692,-2.77478497785262,-0.243414031038062,1.65624903592792,-0.738498493356678,0.365251419030496,1.17628387652642,-1.97420149292654,-1.39616824317337,0.932432113576353,0.257014294201956,0.180745161350689,0.706308142289095,1.60920433787462,-1.8790755970141,-2.12744947568889,0.0880360918064332,-0.736905703975328,0.793715499213743,1.21873059212888,1.62491165110757,1.9870131010493,1.15578851551861,1.53813219973804,1.04646260308057,0.0228736513357678,0.391132414732246,-3.83112065958724,0.775243767423433,-2.77267898828752,-2.26902907300802,0.445973498583291,0.523240550730738,3.10791288944653,0.87691392640139,1.67706167310855,2.11583594532794,0.410083022524933,1.57965386113435,-1.57953778044843,-1.3532483937706,0.741220692307212,-0.330002983203771,-1.42918010072384,-0.59680309345581,0.438202009054218,1.59483575099598,-1.69427270194092,0.618265127690922,-0.251535222761764,0.347345238345489,-2.0788054740587,1.72931642294149
"hsa-miR-101-3p",-2.7729306414824,0.412534254427483,-0.307550739836358,0.070811683099393,0.0125579335865424,0.176717592444535,-1.509059167736,-0.199163880789133,-0.829909279449597,-0.161150043382942,0.237624427743515,0.454270470210845,0.960088102014038,0.542102224589431,0.81452941126675,-0.044711327224287,0.870321049176563,0.333625095398001,0.200281312739806,0.381593271025953,-0.215162943704335,0.697222295171814,0.457722954245105,0.697350322483092,-0.17058197748187,-0.0214435727463901,0.540718276799212,-1.24230115866851,-2.89049687524815,-1.44336504067254,-1.51863834752425,-1.46961599585299,-2.10793804430532,-0.52360132012052,-0.170695941975442,1.01457436168177,1.3660265602903,-0.0646982312714851,0.592571116316849,0.40724358816594,1.46956299185999,0.895397274005006,0.345071589391807,1.1176429778931,0.726086843064642,-0.139758112974658,0.123039708791216,0.463881879169309,0.912764518288321,-0.0552045657133892,-0.454687975184004,0.175015269830354,0.584051541193838,-0.590241980886806,-0.582683175187691,0.243656003815095,0.436890776609948,0.259023761074135
"hsa-miR-101-5p",-0.651394345756578,0.190374676561632,0.591167134114884,-0.355157020994343,-1.10311526354414,0.108021546044007,-0.271830410847624,-0.136417570926883,-0.445048264850662,0.18250964807326,0.326315716546232,0.190749296165505,0.680342856858401,-0.119857211362753,0.2034046193488,0.0125019467097414,-0.0208442806169624,-0.149568758230448,0.460037708853617,0.528396271820614,-0.443374110841016,0.51807600128975,0.98640175685124,0.290835874031725,-1.13758525276829,0.0693098726817418,0.312462836603845,-0.154401827779361,-0.840570847474077,0.137871824037039,-1.26500431409492,-0.600702987226086,-0.549684622860507,-0.613809668688399,0.725785501921722,-0.177572082215948,0.946308738326813,0.140693540806574,0.505497221689415,0.32238633449815,0.714540371390416,-0.00909585749232658,0.317615450753313,1.00869285882936,0.30924040768899,0.325801896571925,0.64271614056294,-0.260002555411475,0.0815847262215847,0.425099005746552,-0.679489556618434,-0.12056163470663,-0.171738106289077,-0.913808140271035,-0.712968436052699,0.22662188038088,0.717604464027433,-0.469658372255596
